日付け,終値,始値,高値,安値,出来高,前日比%
2018年7月,22553.72 ,22233.80 ,22949.32 ,21462.95 ,15.71B,1.12%
2018年8月,22865.15 ,22642.18 ,23032.17 ,21851.32 ,15.62B,1.38%
2018年9月,24120.04 ,22819.17 ,24286.10 ,22172.90 ,14.92B,5.49%
2018年10月,21920.46 ,24173.37 ,24448.07 ,20971.93 ,18.79B,-9.12%
2018年11月,22351.06 ,21906.41 ,22583.43 ,21243.38 ,17.41B,1.96%
2018年12月,20014.77 ,22629.39 ,22698.79 ,18948.58 ,16.75B,-10.45%
2019年1月,20773.49 ,19655.13 ,20892.68 ,19241.37 ,13.76B,3.79%
2019年2月,21385.16 ,20797.03 ,21610.88 ,20315.31 ,13.15B,2.94%
2019年3月,21205.81 ,21490.02 ,21860.39 ,20911.57 ,14.40B,-0.84%
2019年4月,22258.73 ,21500.89 ,22362.92 ,21471.12 ,12.74B,4.97%
2019年5月,20601.19 ,22184.40 ,22190.49 ,20581.58 ,15.03B,-7.45%
2019年6月,21275.92 ,20327.87 ,21497.82 ,20289.64 ,12.32B,3.28%
2019年7月,21521.53 ,21566.27 ,21823.07 ,20993.44 ,12.05B,1.15%
2019年8月,20704.37 ,21361.58 ,21556.69 ,20110.76 ,13.90B,-3.80%
2019年9月,21755.84 ,20625.75 ,22255.56 ,20554.16 ,14.38B,5.08%
2019年10月,22927.04 ,21831.44 ,23008.43 ,21276.01 ,13.48B,5.38%
2019年11月,23293.91 ,22730.49 ,23608.06 ,22705.60 ,13.57B,1.60%
2019年12月,23656.62 ,23388.63 ,24091.12 ,23044.78 ,11.73B,1.56%
2020年1月,23204.76 ,23271.00 ,23578.00 ,22934.50 ,-,-1.91%
